feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,label
78.441,76.947,77.387,77.156,44.113,68.104,-740.372,-0.889,5.645,A
77.131,78.218,78.393,77.869,42.224,69.097,-287.756,-1.617,3.729,A
79.278,76.4,76.438,75.048,9.401,66.675,-913.108,0.601,-1.096,A
76.716,78.54,76.34,77.548,49.661,68.754,-376.241,0.269,4.199,A
79.157,77.91,75.49,77.237,22.335,68.391,-337.714,-0.724,2.491,A
76.61,76.156,77.009,76.067,12.973,68.194,-762.437,-1.42,3.19,A
76.515,77.018,75.273,77.485,23.029,68.89,-640.656,-0.025,-1.776,A
77.836,76.674,76.301,76.976,10.483,68.45,-775.683,-0.65,-2.017,A
76.058,75.302,77.281,75.443,46.863,68.125,-58.89,0.501,-1.278,A
77.281,78.826,77.567,75.103,14.87,68.981,-482.07,-1.544,2.028,A
78.625,78.068,76.224,75.927,17.29,66.115,-221.471,0.267,-1.371,A
78.043,78.018,75.153,75.686,18.316,67.314,-882.954,0.564,-0.09,A
76.918,78.762,78.379,77.429,18.637,68.125,-942.109,-1.174,-1.773,A
78.594,77.583,77.854,75.803,37.043,69.367,-261.107,-1.087,4.145,A
78.26,77.908,77.556,77.207,29.735,69.085,-208.773,0.092,-0.559,A
76.51,76.184,75.822,78.051,23.402,68.049,-163.828,0.205,2.276,A
77.641,78.156,78.425,75.895,19.528,67.667,-72.306,0.286,3.839,A
78.319,77.452,75.142,75.402,37.836,69.919,-966.499,-0.602,-0.202,A
78.293,78.985,76.886,77.887,5.653,68.087,-898.651,0.593,5.792,A
77.217,75.369,75.898,76.854,44.977,67.442,-857.926,0.762,-2.694,A
76.381,77.286,78.021,76.64,2.954,69.848,-801.827,0.088,2.905,A
76.002,78.659,75.915,78.298,0.097,66.854,-872.051,-1.786,-0.385,A
79.202,76.676,77.856,75.505,9.026,69.723,-330.756,-0.526,2.129,A
76.467,76.598,76.385,77.825,1.352,69.093,-915.328,-1.646,0.191,A
79.279,76.24,76.782,78.034,28.525,67.097,-72.951,0.976,1.596,A
