feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,label
77.654,76.074,76.6,77.308,45.893,69.503,-409.508,-1.631,5.517,A
77.264,76.127,78.276,76.091,23.208,67.144,-697.878,0.913,5.48,A
76.044,78.863,76.363,78.88,49.441,66.786,-313.861,-0.061,2.347,A
79.607,75.289,78.099,75.287,22.052,66.035,-944.338,0.693,-2.184,A
77.33,75.976,76.674,76.122,17.508,69.871,-427.84,-0.518,0.951,A
78.009,76.356,78.41,77.741,18.277,66.243,-664.205,0.254,-0.645,A
78.927,78.975,77.203,76.11,29.69,66.041,-665.856,0.225,-1.381,A
78.758,78.952,77.314,77.907,12.565,69.868,-14.839,-0.712,5.311,A
77.103,76.694,75.745,75.844,29.325,68.374,-462.962,-0.699,-0.159,A
79.937,78.313,76.809,77.794,21.211,67.776,-890.67,-0.452,3.7,A
77.131,77.979,76.218,77.331,7.533,68.05,-455.197,0.256,4.713,A
77.605,77.395,75.845,76.564,4.483,66.976,-129.627,0.228,2.574,A
77.536,77.975,75.46,76.74,3.96,68.323,-881.91,-0.677,5.723,A
78.75,77.956,76.706,76.967,2.166,68.365,-802.099,0.027,5.216,A
77.652,76.144,77.703,75.936,16.732,68.537,-57.533,0.594,4.052,A
78.313,75.738,76.653,75.495,35.734,68.83,-204.877,0.841,0.343,A
76.753,78.278,78.051,78.796,30.837,68.471,-209.035,-0.387,-1.897,A
78.092,78.112,76.619,78.534,10.176,66.063,-343.232,-1.337,3.597,A
79.468,77.47,78.519,76.833,46.55,69.744,-594.846,-1.669,-2.619,A
79.443,77.077,76.17,76.372,21.681,66.849,-785.596,-0.475,2.508,A
77.427,77.681,77.928,75.117,27.324,69.632,-78.621,-0.611,-2.09,A
77.609,75.805,77.279,76.098,27.955,67.76,-155.29,-0.048,-2.494,A
79.893,75.424,78.635,75.251,30.212,67.673,-833.741,-1.956,4.221,A
78.662,76.342,77.468,75.936,16.5,67.002,-52.729,-1.061,-2.489,A
77.784,78.142,77.421,75.46,46.306,66.61,-918.032,-0.298,0.992,A
78.553,78.528,76.098,77.183,6.58,68.621,-423.185,-1.408,2.106,A
79.434,78.894,77.192,75.026,18.572,66.114,-46.457,-0.047,-0.729,A
77.947,77.399,76.014,75.861,9.564,66.998,-354.584,-1.065,4.612,A
79.917,76.665,78.483,77.345,15.711,68.52,-722.39,-0.998,5.507,A
