feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,label
76.521,78.984,77.36,77.823,40.967,67.593,-974.989,-1.787,2.45,A
76.773,75.855,76.992,77.165,40.364,68.148,-368.985,-0.687,2.77,A
77.726,77.269,76.706,76.945,15.101,67.267,-292.448,0.251,-1.75,A
79.229,78.198,75.627,76.715,31.711,68.917,-49.043,-0.916,0.034,A
79.913,77.839,77.791,76.593,15.343,69.884,-137.543,-0.681,2.293,A
78.824,75.853,76.708,77.423,40.7,67.343,-287.994,-0.676,-1.43,A
78.354,78.489,76.929,78.348,41.763,69.371,-337.095,0.843,4.452,A
78.66,75.736,78.638,76.148,40.8,67.609,-648.571,0.107,-0.19,A
77.672,76.706,77.061,75.75,12.097,66.597,-69.287,0.49,-2.127,A
77.929,75.764,75.307,75.223,36.216,66.249,-710.11,-0.556,2.588,A
62.429,64.399,63.257,63.917,52.289,69.632,-679.151,0.884,3.174,B
62.123,63.913,61.26,65.446,32.664,72.608,-959.731,-1.977,3.253,B
63.426,64.864,64.288,63.89,76.025,70.899,-902.689,-1.809,5.132,B
62.983,63.488,63.331,63.185,20.497,71.964,-83.879,0.342,-0.221,B
64.528,63.492,61.655,66.511,71.801,68.058,-430.204,-1.248,3.191,B
62.919,64.289,62.694,65.698,67.413,71.39,-228.902,0.95,2.463,B
62.664,66.759,64.547,63.6,45.565,72.371,-846.458,0.322,5.126,B
64.013,64.389,61.193,64.253,38.693,70.828,-625.762,0.953,4.313,B
65.503,66.107,62.504,66.605,49.547,71.621,-496.084,0.605,1.335,B
64.985,66.2,64.601,64.264,78.573,72.551,-534.718,-1.43,-0.82,B
68.285,69.739,68.891,69.573,90.0,67.915,-43.329,-944.562,4.088,C
69.765,69.501,66.055,66.1,90.0,66.248,-452.372,-172.122,-0.411,C
68.772,68.0,68.035,67.866,90.0,66.335,-9.806,-424.516,3.666,C
67.617,67.057,67.532,68.632,90.0,69.897,-798.61,-875.844,4.897,C
68.319,66.115,67.195,69.847,90.0,66.578,-917.9,-399.085,3.927,C
68.164,69.463,67.569,68.181,90.0,69.639,-650.829,-734.331,1.591,C
68.159,66.492,68.774,68.453,90.0,69.613,-308.06,-103.511,4.831,C
69.183,68.198,69.005,68.071,90.0,66.401,-785.812,-103.313,-3.204,C
69.74,67.376,69.893,67.544,90.0,69.726,-349.634,-359.28,0.722,C
69.993,67.472,66.785,69.77,90.0,67.594,-364.912,-223.499,0.042,C
75.65,73.921,74.938,64.403,90.0,71.459,-292.559,-0.917,0.512,D
74.682,73.776,75.682,64.268,90.0,70.563,-374.084,-0.862,-2.112,D
75.728,74.208,74.523,65.012,90.0,72.158,-188.189,0.521,-3.452,D
73.994,75.17,74.224,63.705,90.0,69.914,-613.887,-0.669,1.391,D
75.474,74.227,73.735,64.669,90.0,69.078,-280.543,-1.616,-3.849,D
75.619,73.291,72.88,63.031,90.0,71.88,-160.841,-0.328,-1.874,D
73.226,75.479,75.706,65.555,90.0,71.553,-332.022,-0.805,-2.993,D
74.621,73.886,74.674,64.429,90.0,69.551,-624.011,-0.52,4.806,D
74.607,73.049,74.206,65.004,90.0,71.692,-589.228,-0.239,-0.429,D
73.12,74.585,75.779,65.685,90.0,69.298,-636.847,-1.428,-4.402,D
73.646,73.007,77.746,73.908,90.0,73.799,-873.909,-0.954,2.294,E
75.729,74.015,73.696,73.818,90.0,73.171,-524.814,-0.684,4.859,E
75.904,77.049,74.5,77.825,90.0,71.675,-566.58,0.229,-0.615,E
75.425,76.743,75.114,76.974,90.0,73.508,-908.316,0.987,-0.901,E
74.64,77.591,74.1,74.977,90.0,70.357,-53.755,-0.862,1.34,E
76.252,76.497,75.4,74.634,90.0,70.086,-801.998,0.714,4.011,E
77.289,76.959,73.793,74.915,90.0,70.806,-45.197,-0.786,5.455,E
76.315,77.063,77.561,74.695,90.0,72.814,-119.804,-1.583,1.437,E
77.04,76.409,76.075,76.57,90.0,71.266,-162.78,-1.722,5.854,E
74.512,76.653,75.514,74.325,90.0,73.818,-534.344,0.128,3.28,E
67.274,65.922,64.052,75.15,90.0,70.869,-491.475,-0.394,2.473,F
65.819,65.178,63.047,74.431,90.0,69.667,-404.837,-1.608,-0.536,F
67.74,65.577,62.902,73.365,90.0,69.0,-606.353,0.648,-3.92,F
67.863,67.373,63.336,75.666,90.0,69.633,-46.116,0.418,-3.433,F
64.176,65.354,62.105,72.046,90.0,69.169,-275.693,0.779,-0.306,F
